,Equal Weight,Classical Markowitz,NW (Gamma=1.0),NW (Gamma=0.0),BTC (Buy & Hold),SAC-Net (Excess NW),SAC-Net (Sharpe Incr)
2019-07-16,1.070893211785528,1.081250662553693,1.1795102745648414,1.2140463082542847,2.00535092962447,1.1039418809658845,1.1758447614247174
2019-07-17,1.1302580311540824,1.1526572232303753,1.2568926170727646,1.2931276456270848,2.050574157642751,1.1763665134343104,1.2529866138363304
2019-07-18,1.2240704943315452,1.252940617948896,1.3530848561909004,1.391587839067944,2.2466491421265102,1.2663959477788973,1.3488799062067622
2019-07-19,1.2283000262883537,1.2632019108834323,1.3597936304210871,1.3974458140446961,2.217873022922458,1.2726749357345468,1.355567851051107
2019-07-20,1.2755665722350369,1.3090953979723978,1.414170877872144,1.454289514506141,2.2671120026763267,1.323568367210141,1.4097761185531779
2019-07-21,1.2602372003500475,1.2979205899327038,1.3938725083052073,1.4339267827806819,2.231452001793379,1.3045704684103376,1.3895408343595372
2019-07-22,1.2148133687230032,1.2503714496713283,1.365569338402551,1.4047973817658437,2.1768944419969047,1.2780806032350955,1.3613256150651478
2019-07-23,1.1657309788310115,1.2015608452833009,1.3122051590215134,1.3498326294960203,2.0817468124442255,1.2281353338612586,1.3081272714988337
2019-07-24,1.1879306993894363,1.199910086185202,1.3197569418074695,1.3575006269803072,2.0629825191759457,1.2352032920345528,1.3156555763497417
2019-07-25,1.182514559285015,1.2003023643163098,1.314268949638287,1.3518533237460908,2.0838838764875054,1.2300669000972149,1.3101846409406284
2019-07-26,1.1981802863916702,1.2092330973657277,1.3340085206168735,1.3721535015412698,2.075132482486446,1.2485418065196623,1.3298628686535185
2019-07-27,1.1386786474951773,1.1608333003528275,1.27969083714245,1.3163434687989122,1.9909001520367966,1.1977041277923246,1.27571399179596
2019-07-28,1.1458667747798266,1.1653767987904746,1.2806403727951565,1.3172808013559654,2.006630854136258,1.198592826435701,1.276660573190157
2019-07-29,1.1389040658379368,1.153050306412686,1.2659028775549166,1.30210525169571,1.9995363390986522,1.1847995270812723,1.2619688747962081
2019-07-30,1.145915748947185,1.159072805109055,1.2747029276914068,1.3111497069063467,2.0179941147460823,1.1930357932863846,1.2707415906553354
2019-07-31,1.1843861197536263,1.193796891809331,1.2979218290168377,1.3349994375032763,2.1160188208861768,1.2147670930368248,1.2938883188540227
2019-08-01,1.1880072474665544,1.2109289160340433,1.31578429110404,1.3534161787096068,2.180901333181494,1.2314851391726673,1.3116952506734496
2019-08-02,1.1682946988984435,1.20132048844694,1.292391544108648,1.3294493914686567,2.2056125180317543,1.2095911079316204,1.2883751833152153
2019-08-03,1.1827366403398256,1.2187348392634845,1.3007586565478215,1.338107069064439,2.2683647030096923,1.217422162674274,1.2967162874577804
2019-08-04,1.1834407338226056,1.222417378896341,1.3006140145806102,1.3379944891210258,2.2992717778948233,1.2172867953604165,1.2965720954318132
2019-08-05,1.225533770650852,1.268844686780638,1.3245054283302484,1.3626493354511908,2.4680323771018107,1.2396475272925955,1.320389232399615
2019-08-06,1.1737327833274078,1.2321322320807355,1.2822164386345456,1.319719322922836,2.398602595910604,1.200067891507962,1.278231659873717
2019-08-07,1.1884334310287594,1.2640318870404517,1.31665837885074,1.355140667043155,2.493616288213926,1.2323032135533327,1.3125665526981134
2019-08-08,1.182515289351312,1.268112864564954,1.325919851574381,1.3657542108192542,2.49871410033628,1.2409713217971865,1.3217992286512217
2019-08-09,1.1218449546010398,1.2300912166308797,1.281067822783769,1.319447780716106,2.47701435631574,1.198992856838026,1.2770865898962107
